db,FoM_CI,FoM_LS,FoM_PMT,total,FoM_tgaps,FoM_EG,FoM_Gal,FoM_depth
footprint_big_sky_nouiyv1.5_10yrs,0.6197718631178707,,0.7092214781677751,0.8077005455701964,0.5344458346469991,0.8458294161610227,0.3740705363729132,0.75680307255489
footprint_big_skyv1.5_10yrs,0.5513307984790874,,0.794983074637777,0.8182271619008002,0.5311100996549467,0.8062296080966935,0.3504669410321318,0.7628074979266466
footprint_big_wfdv1.5_10yrs,0.6768060836501901,,0.6003742515629478,0.7762110023404973,0.47920405144104555,0.2621676303488482,0.3341484001763714,0.7297975685115383
footprint_bluer_footprintv1.5_10yrs,0.5779467680608364,,0.7982998214625834,0.8364188793616152,0.4720105340458969,0.4942365168782365,0.4752663442026064,0.8494126968978791
footprint_gp_smoothv1.5_10yrs,0.5285171102661597,,0.6839598028531303,0.7368872618054972,0.4168281523428156,0.3768304279737573,0.37760549309077646,0.9424236505194872
footprint_newAv1.5_10yrs,0.779467680608365,,0.49699259994672035,0.7757733864984293,0.29638104135048243,0.13660657921973682,0.056845944618139695,0.8308399906005938
footprint_newBv1.5_10yrs,0.8859315589353611,,0.5547935523787176,0.8756059359178913,0.35083115651166585,0.20473143046874523,0.08480563820266598,0.8187939360761073
footprint_no_gp_northv1.5_10yrs,0.6577946768060836,,0.6032106158645786,0.766380561298904,0.480741785791454,0.6342567642313851,0.6266423260806552,0.9198649569972241
footprint_standard_goalsv1.5_10yrs,0.5551330798479087,,0.6348947612271071,0.7232437564737366,0.46448979075415253,0.6172297361203437,0.6668946162219744,0.9157691630350858
footprint_stuck_rollingv1.5_10yrs,1.0,,0.5698588839040224,0.9540874567293768,0.6042252121503319,0.6262578098540363,0.417763091741643,0.768160357080992
goodseeing_gi_v1.5_10yrs,0.6197718631178707,,0.8265794522846195,0.8790252819526149,0.4933341921670758,0.581506416842178,0.6292373504092833,0.8809253990213477
goodseeing_gri_v1.5_10yrs,0.5779467680608364,,0.4569056569076747,0.6289353319280886,0.4878218745209845,0.5984275422394495,0.6392105083336774,0.879225720701357
goodseeing_griz_v1.5_10yrs,0.5931558935361215,,0.6987035465252278,0.7851322817977088,0.493842840645198,0.5943210713519962,0.6522351958012839,0.9021644873770793
goodseeing_gz_v1.5_10yrs,0.5551330798479087,,0.6668091868994893,0.7426398649615384,0.514282743234362,0.6241868469599505,0.7257130564757831,0.8970380386248927
goodseeing_i_v1.5_10yrs,0.49429657794676807,,0.7092214781677751,0.7314424838178065,0.45255917760117786,0.5465822057820323,0.597399222441987,0.8882564423832919
greedy_footprint_v1.5_10yrs,0.6425855513307983,,0.6848517101698075,0.806754832411008,0.4595734050413654,0.5852582548951846,0.6255872438255381,0.9103090339213576
roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.8174904942965779,,0.5698588839040224,0.8431666396349916,0.44991959783514246,0.38108054188233026,0.23893342434880163,0.7233836389838051
rolling_mod2_sdf_0.10_v1.5_10yrs,0.5589353612167299,,0.5698588839040224,0.6860288154179459,0.5265055429107278,0.6664329401228661,0.6714381971347007,0.8109384675541456
rolling_mod2_sdf_0.20_v1.5_10yrs,0.4980988593155893,,0.4907611952678383,0.6009833012458565,0.519234935443321,0.6457431170624818,0.6665375072013578,0.8148083782102999
rolling_mod3_sdf_0.10_v1.5_10yrs,0.5665399239543726,,0.5698588839040224,0.6906505161302121,0.6155404920306231,0.7475927076360169,0.7461611370530701,0.7524180678857457
rolling_mod3_sdf_0.20_v1.5_10yrs,0.6083650190114068,,0.6783038011794956,0.7819776636585752,0.5818368567883326,0.7080214125604624,0.7242337265053608,0.7621874102023629
rolling_mod6_sdf_0.10_v1.5_10yrs,0.6539923954372624,,0.6949278787561082,0.819811211651894,0.8735085438407157,0.8507283491766845,0.8011083883132692,0.6745916052676391
rolling_mod6_sdf_0.20_v1.5_10yrs,0.5893536121673003,,0.583997118104693,0.7131081816174284,0.8604765424212377,0.8075488266812538,0.7552955729610815,0.6979055536204921
short_exp_2ns_1expt_v1.5_10yrs,0.42965779467680604,,0.5545362950059132,0.5981475440762474,0.7862626586713048,0.9399446536473092,0.9121469325395652,0.7676598740259089
short_exp_2ns_5expt_v1.5_10yrs,0.28897338403041817,,0.6100618862862492,0.5463919613164914,0.7004538430642931,0.9054277413741229,0.8742493518284375,0.7708505971548233
short_exp_5ns_1expt_v1.5_10yrs,0.05703422053231936,,0.5551522784792045,0.37205857537554005,1.0,1.0,1.0,0.3586489493851185
short_exp_5ns_5expt_v1.5_10yrs,0.0,,0.7274649016974166,0.44211944464354025,0.8650980158888845,0.9739131754282558,0.9547215817741745,0.41260371694543335
spiders_v1.5_10yrs,0.6539923954372624,,0.6143834460713649,0.7708600392109731,0.4635688124104848,0.613705311482172,0.6675209850299523,0.9162505392062454
third_obs_pt120v1.5_10yrs,0.5931558935361215,,0.6316018054132799,0.7443509541407921,0.45348545823635983,0.4820905593047313,0.5039395635267483,0.9002153513358087
third_obs_pt15v1.5_10yrs,0.5779467680608364,,0.6633057973243179,0.7543757693188553,0.47712249807944185,0.6368591612756492,0.6735568603016753,0.9227764953597057
third_obs_pt30v1.5_10yrs,0.5399239543726235,,0.6691651636488523,0.734828316990817,0.47488993569464544,0.6093364900569817,0.7195719063417699,0.9239082702812482
third_obs_pt45v1.5_10yrs,0.5551330798479087,,0.5403689806675827,0.665795368918598,0.4738904951161425,0.6100309663781172,0.6621263785259333,0.9249023791960876
third_obs_pt60v1.5_10yrs,0.6159695817490494,,0.6618907857763118,0.7766242944560596,0.4756990388199339,0.5907530290421799,0.6142527621225107,0.9115943045078814
third_obs_pt90v1.5_10yrs,0.5095057034220531,,0.7106731718580227,0.7415681573720692,0.46249236106460023,0.5253473839821972,0.5746994849046403,0.9061957869925078
twilight_neo_mod1_v1.5_10yrs,0.7870722433460074,,0.0,0.4783460237195357,0.6989804524996474,0.7336260738596179,0.7436301933445301,0.40995204535816754
twilight_neo_mod2_v1.5_10yrs,0.7604562737642585,,0.39025114287810914,0.6993466252544197,0.6242770607770124,0.7430394655765066,0.7681143241194934,0.7598938290296308
twilight_neo_mod3_v1.5_10yrs,0.6844106463878327,,0.2089097647609028,0.54291873483416,0.5915697990190059,0.7370022120148361,0.7692763681995085,0.8157900016921862
twilight_neo_mod4_v1.5_10yrs,0.7528517110266157,,0.3747512519347686,0.6853048093449594,0.5852574775205978,0.7451849394113665,0.7617965333033199,0.8499965579387625
