db,u,g,r,i,z,y
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,18062416,11854612,4920396,5161106,4258938,9046856
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,23958252,12607242,5420340,3815804,5169400,10831822
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,20990344,14153533,4518834,2977807,3926317,11162842
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,20529954,13175702,4906803,3479482,6998734,8479021
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,22158759,14337732,3869020,4740116,4894739,9470176
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,20720477,17755387,3785517,5193478,4963562,10548003
rolling_scale0.2_nslice2_v1.7_10yrs.db,17043087,11457806,5380697,3664812,4618437,14251561
rolling_scale0.2_nslice3_v1.7_10yrs.db,16591410,12556689,4859344,4227010,6143387,12481905
rolling_scale0.4_nslice2_v1.7_10yrs.db,18687109,8930603,4178023,5255068,4685809,12859645
rolling_scale0.4_nslice3_v1.7_10yrs.db,15163103,9050734,3932415,4031108,6693837,12085035
rolling_scale0.6_nslice2_v1.7_10yrs.db,15512241,8920725,4793055,7888397,5908984,17774341
rolling_scale0.6_nslice3_v1.7_10yrs.db,19486961,10976535,6054028,4171942,5720203,12856917
rolling_scale0.8_nslice2_v1.7_10yrs.db,15182951,10836575,2801237,5130645,5687974,13944942
rolling_scale0.8_nslice3_v1.7_10yrs.db,17711436,13954580,5850021,5056873,5804204,14539846
rolling_scale0.9_nslice2_v1.7_10yrs.db,15242230,10620385,5408243,5813102,7160801,11868825
rolling_scale0.9_nslice3_v1.7_10yrs.db,19448387,11517564,4592688,4949648,9670167,14029295
rolling_scale1.0_nslice2_v1.7_10yrs.db,12699281,12293870,5076269,3652141,6786660,15869748
rolling_scale1.0_nslice3_v1.7_10yrs.db,18234610,13012939,6472094,6146233,7249532,12723658
twi_neo_pattern1_v1.7_10yrs.db,3309535,0,0,0,0,0
twi_neo_pattern2_v1.7_10yrs.db,7733214,1632496,0,96746,413242,450316
twi_neo_pattern3_v1.7_10yrs.db,9404415,3238237,208276,339546,322379,3068265
twi_neo_pattern4_v1.7_10yrs.db,14886232,2505121,474252,879715,1276637,3758305
twi_neo_pattern5_v1.7_10yrs.db,7622220,1017264,0,0,0,1065336
twi_neo_pattern6_v1.7_10yrs.db,9825856,633745,46066,22746,0,1177283
twi_neo_pattern7_v1.7_10yrs.db,12100248,2897194,1242408,500860,806605,2279993
twi_pairs_mixed_repeat_v1.7_10yrs.db,18033709,7369375,3781435,6291654,4794337,8549090
twi_pairs_mixed_v1.7_10yrs.db,21985101,7573572,2620333,4815937,4125230,11408909
twi_pairs_repeat_v1.7_10yrs.db,14982919,8558839,8703393,6466515,7389147,14770017
twi_pairs_v1.7_10yrs.db,18690782,9887209,7384350,7168172,8696460,13924308
u_long_ms_30_v1.7_10yrs.db,45102282,22085757,9679634,8128882,9594676,15547727
u_long_ms_40_v1.7_10yrs.db,21544992,12874651,5304954,2424739,5943387,9244495
u_long_ms_50_v1.7_10yrs.db,10166114,10865045,1952509,2555902,3980002,9115126
u_long_ms_60_v1.7_10yrs.db,3473256,8163652,858153,621832,1023127,2646701
