uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
117049931,119768793,117692631,109398127,84412021,41830652,117644446,120538325,111221236,106338825,102850354,119922507,119924813,109280480,107319070,121174166,122342423,112770865,121179837,120607106,121207240
118040654,116929137,117684980,109540813,82754475,43738037,118011000,117982604,110136161,108280244,102702890,121170995,123384779,109707990,107480624,124058800,124059022,111855550,124069011,121324122,122902129
118692403,120555999,120141981,110227735,89227236,46252191,118843835,118746285,110253314,106884959,103763827,122880302,122867877,110297303,107500492,122894808,123480864,110620294,122887823,119932164,121211719
116781699,118909015,118115455,111608433,88918778,53343343,117380192,116710841,112011792,107392952,100058262,122358703,121172601,110279809,109298044,121173495,119912096,111998089,121169144,118420832,120904620
119958230,120902920,118500147,111253862,89174553,41419841,121114016,118823254,109813405,105226945,101221287,122872314,120958180,109794382,107114965,124036452,122601621,110796208,122865973,120501513,121198569
118235050,117288611,118895409,112075301,85750102,46009473,119934553,122878842,113320813,108264752,99457582,121173005,119264778,110813296,108802408,122880750,122882405,111943487,122877223,122664092,121188169
120569803,122225108,119883793,110356811,85500044,51759251,121287265,122435622,111681209,106856560,101992807,121162513,119544938,109932050,107873049,122139953,120893906,114890211,122882621,119523481,122356795
115510103,118687995,116619889,109218915,82271097,51667262,119083191,119713180,110727189,106034018,98300785,122889935,117993282,109229147,107335761,120508851,122211919,110731179,122890090,119655262,121651863
116419817,118575412,117846272,110168623,93513219,55682052,118832998,118257960,109797690,110161528,102734353,122360574,120501985,111577147,110177894,120496096,122134851,112865658,118581805,122352492,122297878
119467646,122869079,117234363,110023916,87381900,54902959,119257657,117324580,111574623,107819639,101687676,120518966,122346610,111644075,108723714,120510396,123705113,111818234,122216107,120633909,119864697
118038955,120513517,118023849,109788073,81549777,37879794,120509161,118881818,113162323,107669387,101805126,121676741,123384892,108736609,105162142,123381477,122870459,111057033,122897444,122930390,122215548
117604338,117368417,119518835,108697475,85673256,29178104,119091236,122876448,111807043,106789453,97186253,124377315,123187684,111508274,106619614,122209756,122205982,111234452,122877492,122250449,119331084
115182393,118630981,114545087,108035071,83001363,29063536,118008322,121332592,110373964,106022801,94530877,121623722,119294501,110228032,106129710,119918632,119918106,111718058,121638416,120935858,120545691
117306268,119825397,117122580,108884533,79028975,33541798,119542571,119219214,110597001,106228038,97980961,121156302,120536945,111529434,109027018,120548766,122342338,110291392,120551668,118655672,123051641
117723963,120845610,118874963,110183903,80211167,28591233,119345575,119240126,111489933,107165004,98286467,121161024,122866029,109927868,106798917,122876446,124054554,110753964,121118860,117321592,122882900
118290287,119003361,119598950,109220824,75425820,31761006,119569332,124275843,109336635,108218045,96178441,122874555,122869988,110649282,105837227,122884693,119225258,113402464,119227228,119237544,120762190
116636592,119873067,116550461,110628540,79143266,29195619,122555207,122521976,110594123,108001023,95163501,123205281,122137976,110849273,108753113,122866627,122869861,111818361,122876421,122879452,124378221
117489057,118387776,120186665,107389096,84506022,38186580,120009601,122162129,111968392,108928046,102253095,125350041,124905527,111019801,107300478,125356659,124069123,112332080,120506152,119256056,123125432
117949180,119434482,118258396,110090602,81422747,31389716,122156840,121157655,110263387,106720776,102472529,122866139,121154496,109581045,106951005,122875569,124053204,112829718,124064664,123443677,120558301
119506690,119272427,116990026,109832658,84122080,34592669,119272942,120982485,110038130,107810131,99249520,122894588,122882758,113419558,108722940,122887324,123852160,116625168,123889671,125044251,122267201
119223989,120533735,115746252,108089296,86874257,34854427,120594420,119956483,110538065,105223810,95573786,122251004,122253325,109697384,106929493,122252178,121161609,111536087,119930565,119263467,121486030
119294248,114553655,120534234,110842228,90942075,41137037,117987867,121148335,111571093,106709521,100332543,121158081,119952620,110068798,107059242,121159277,122864240,113470034,124057577,121715928,124058594
118027719,121657142,118567751,107454273,84101845,31348416,121188857,121161315,109546611,106517424,100599890,121161392,122869442,110952236,106494199,121641189,121633911,111046173,121631818,119917117,122875318
118763313,118676314,117841271,108889432,81067679,27029805,117894636,120473557,112115700,108856154,102032420,121164457,123389034,110773766,108098320,124056920,122337735,112020273,121154128,121162890,121168285
117496187,118218488,116375250,108275906,84921758,34954274,118281574,121888165,109924216,108188720,101357997,120875233,119162953,111009513,107913505,121165347,121156127,110754517,120536081,118605829,119717559
