db,uu,ug,ur,ui,uz,uy,gg,gr
filterdist_indx2_v1.5_10yrs.db,213629040,201599136,214749468,211382316,0,0,216349020,216024120
filterdist_indx3_v1.5_10yrs.db,211987476,214484040,18785664,31033440,0,0,218169900,218169900
filterdist_indx4_v1.5_10yrs.db,218169900,215027784,218169900,136773936,0,0,213897420,151586928
filterdist_indx5_v1.5_10yrs.db,211987476,167013504,210865644,176576112,0,1308744,212697648,212898420
filterdist_indx6_v1.5_10yrs.db,211987476,210647844,184137300,153049428,0,0,214793244,213371748
filterdist_indx7_v1.5_10yrs.db,218169900,214030656,216311616,210959136,0,0,218169900,217204668
filterdist_indx8_v1.5_10yrs.db,212120712,199649880,210475152,202618188,0,625572,213897420,213957072
footprint_add_mag_cloudsv1.5_10yrs.db,74893140,112444308,62617428,70894260,0,0,69286464,79158996
footprint_big_sky_dustv1.5_10yrs.db,8562348,6371028,13764168,11626056,0,0,12220884,15196356
footprint_big_sky_nouiyv1.5_10yrs.db,0,0,0,0,0,0,5206356,10158840
footprint_big_skyv1.5_10yrs.db,0,0,0,0,0,0,2332296,11204748
footprint_big_wfdv1.5_10yrs.db,46381032,67422960,44033436,50434200,0,0,52598196,60917508
footprint_bluer_footprintv1.5_10yrs.db,66656988,100275588,58380552,79825860,0,0,55808388,85307184
footprint_gp_smoothv1.5_10yrs.db,236398428,174266676,236594412,210666420,0,1543032,237384504,238960224
footprint_newAv1.5_10yrs.db,225342576,92777292,196981884,109834380,0,8253216,232334100,232397316
footprint_newBv1.5_10yrs.db,178837272,47680092,161263800,83350872,0,0,223860420,220908960
footprint_no_gp_northv1.5_10yrs.db,79377192,92472804,64560204,80692704,0,0,63291636,46413756
footprint_standard_goalsv1.5_10yrs.db,68924124,106483320,69478092,101163276,0,0,75983580,69559920
footprint_stuck_rollingv1.5_10yrs.db,14965056,48166200,20824848,52553448,0,0,18136080,30237012
goodseeing_gi_v1.5_10yrs.db,76910904,110627424,63495108,100723896,0,0,77112648,63985572
goodseeing_gri_v1.5_10yrs.db,84274452,90361944,75246156,83601288,0,0,68999184,67326768
goodseeing_griz_v1.5_10yrs.db,95913576,132956460,47396700,104470704,0,2458728,77120064,60828084
goodseeing_gz_v1.5_10yrs.db,94156596,102293316,75770784,118279836,0,2370312,83259720,61024536
goodseeing_i_v1.5_10yrs.db,84046680,73739916,71018244,81389844,0,0,57470472,58051944
greedy_footprint_v1.5_10yrs.db,69279624,89033076,69621408,96145560,0,0,53012844,55486080
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,33675156,26769780,70691796,12075984,0,43483680,36047232,31852908
rolling_mod2_sdf_0.10_v1.5_10yrs.db,109914912,128799432,97834536,64438488,0,0,78964488,55769004
rolling_mod2_sdf_0.20_v1.5_10yrs.db,93140568,126062136,73348560,60129360,0,0,75177936,66377916
rolling_mod3_sdf_0.10_v1.5_10yrs.db,59554728,90793620,61168032,57755916,0,1177668,53348328,57665088
rolling_mod3_sdf_0.20_v1.5_10yrs.db,90192096,117195336,68264352,75649392,0,0,69700896,53863272
rolling_mod6_sdf_0.10_v1.5_10yrs.db,49316076,83047860,50839956,74242692,0,2314872,52988688,45603360
rolling_mod6_sdf_0.20_v1.5_10yrs.db,45377712,78820236,58917852,85760892,0,264924,45003060,50968440
short_exp_2ns_1expt_v1.5_10yrs.db,187858980,231286428,192290544,135726264,0,0,140255604,199641564
short_exp_2ns_5expt_v1.5_10yrs.db,207640980,233238024,172062144,80977752,0,0,166859604,190140228
short_exp_5ns_1expt_v1.5_10yrs.db,232132968,237113028,212384268,105445296,0,3249108,224876088,216314604
short_exp_5ns_5expt_v1.5_10yrs.db,227909016,236716740,234657432,95328756,0,0,198660744,224543880
spiders_v1.5_10yrs.db,76097268,101229912,62088336,72614088,0,0,63941040,54762912
third_obs_pt120v1.5_10yrs.db,60678468,75264804,64641420,116986176,0,0,54468540,56223072
third_obs_pt15v1.5_10yrs.db,71640144,92797128,89363880,96284448,0,0,68247504,72491364
third_obs_pt30v1.5_10yrs.db,85269024,96573312,97657740,89413056,0,3017700,72146376,77034276
third_obs_pt45v1.5_10yrs.db,82355400,73493424,80963676,56974824,0,0,64584612,70461828
third_obs_pt60v1.5_10yrs.db,81252180,100500516,81676440,125889156,0,0,70670952,101982744
third_obs_pt90v1.5_10yrs.db,59969232,115364844,64729116,94161996,0,0,62269524,61739532
twilight_neo_mod1_v1.5_10yrs.db,69980796,193946112,20821248,122087484,0,1029816,45397512,41418900
twilight_neo_mod2_v1.5_10yrs.db,75162528,208413684,37851696,51070248,0,0,50989644,46969884
twilight_neo_mod3_v1.5_10yrs.db,121668840,213117048,35338464,44230032,0,0,72059868,41741316
twilight_neo_mod4_v1.5_10yrs.db,82028340,179758080,41976792,44433900,0,0,54887400,45684504
u60_v1.5_10yrs.db,1401912,12046500,8726220,11632248,0,0,54789228,109605096
var_expt_v1.5_10yrs.db,79697376,90802188,121036464,121735440,0,3088800,52523064,48906540
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,238733136,230910012,230041476,183393612,0,25906464,240198912,220482144
wfd_depth_scale0.65_v1.5_10yrs.db,238296780,230027760,220114116,179884620,0,6153048,239450292,207746388
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,238733136,230071032,229019436,160900884,0,3783492,239427792,187873992
wfd_depth_scale0.70_v1.5_10yrs.db,238073472,232793604,226604952,149086872,0,9850500,239864148,179671104
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,237637116,234499680,191405628,133866072,0,7131744,239427792,127627704
wfd_depth_scale0.75_v1.5_10yrs.db,238073472,232136136,198071064,106034868,0,11779956,239427792,144879948
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,237202776,223338636,181236924,138268800,0,4785516,237714192,110233692
wfd_depth_scale0.80_v1.5_10yrs.db,237070728,216085176,128630412,138041352,0,0,237426588,112505760
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,222875856,187008552,132043932,115403652,0,0,198641916,100846692
wfd_depth_scale0.85_v1.5_10yrs.db,201231216,178211520,108635436,148732452,0,0,189214632,93467664
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,84307716,94023468,86236308,120552372,0,908136,68053248,78361200
wfd_depth_scale0.90_v1.5_10yrs.db,59311224,88901784,63637884,90673236,0,0,71102088,71737704
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,40238748,39893760,44509824,52607988,0,0,42447996,50665212
wfd_depth_scale0.95_v1.5_10yrs.db,39635064,38285928,44060616,49623480,0,0,42447996,45843516
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,39626712,33369876,39951612,67427460,0,0,42447996,44100612
wfd_depth_scale0.99_v1.5_10yrs.db,37085760,29079684,39260412,42587352,0,0,41861376,40233960
