db,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
rolling_mod6_sdf_0.10_v1.5_10yrs.db,53368848,71476164,11527956,51308388,60236136,79095780,52361892,62361036,57758328,69527916,66216096,76749012,72536040
rolling_mod6_sdf_0.20_v1.5_10yrs.db,59904576,46477692,10030104,53270856,60085620,64216008,52944768,61154280,54140724,52852788,60435576,55830420,80820108
short_exp_2ns_1expt_v1.5_10yrs.db,152901288,31552920,1077552,142374492,202911372,148744512,15178716,173667600,224646084,114841548,179142300,160366644,134942256
short_exp_2ns_5expt_v1.5_10yrs.db,87054300,13385232,9695664,115799760,189745128,84089736,25914960,150445404,225502668,64024524,138226176,168995088,125152128
short_exp_5ns_1expt_v1.5_10yrs.db,149474520,20877192,7598124,191929176,213871500,126460008,16128720,221248908,235014768,103724676,218931516,208574748,187251480
short_exp_5ns_5expt_v1.5_10yrs.db,88594056,45925704,4301316,199120788,173296296,115204104,14513652,227110824,237481524,80535492,211653144,118220868,175198644
spiders_v1.5_10yrs.db,83115000,55513476,14549472,59578308,60439428,55721052,47164140,69783192,93045420,80625240,81253476,64268136,57208032
third_obs_pt120v1.5_10yrs.db,74728728,90053316,862596,61906212,87594624,98244828,12064356,68614884,77181408,108761796,62186688,75219444,66847536
third_obs_pt15v1.5_10yrs.db,94353300,56935656,6593832,60129864,91550628,63955080,37334556,76289184,64867968,96341328,81490860,94306284,69359580
third_obs_pt30v1.5_10yrs.db,108626724,43845588,21449412,64751040,69658596,69949944,33353136,62636508,58442760,133615656,71123904,109026000,66075840
third_obs_pt45v1.5_10yrs.db,94737744,72105480,13244256,65453220,72736848,119440296,35201844,72940248,83981664,117081792,78954444,97784136,87102936
third_obs_pt60v1.5_10yrs.db,124312140,97554636,5369796,69789060,86788440,85761000,35857728,70514496,69501888,122353308,61541064,103471740,82067256
third_obs_pt90v1.5_10yrs.db,110776752,88129368,46110456,65020644,86548716,122522760,76251204,74835828,77877288,107147268,72184788,101817576,79508916
twilight_neo_mod1_v1.5_10yrs.db,95902344,26351604,10205712,224997012,44191440,43390332,31795992,225559872,41611284,36403488,225559872,47432232,61690680
twilight_neo_mod2_v1.5_10yrs.db,54704628,24966072,9555552,225017784,44402688,38514852,33013260,227036196,45156744,36800496,226716156,43408944,71702784
twilight_neo_mod3_v1.5_10yrs.db,47567268,21784788,10907784,219140136,47162340,41898168,29519712,221469336,44249400,47895012,225934308,46406088,69688188
twilight_neo_mod4_v1.5_10yrs.db,49808772,49011696,42513300,160186356,45845604,47171340,56555280,185794020,42230340,43513488,218663676,41744628,72341496
u60_v1.5_10yrs.db,77735088,49784076,20641644,55724004,58094460,82176228,33191748,58150404,89018244,125275608,72359352,103566348,77996412
var_expt_v1.5_10yrs.db,88133436,60194448,18676944,50094324,63999756,58234968,30691548,72832932,37807848,64004796,49420188,52373628,47713176
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,152836632,33180840,12363948,239864148,234588636,165611772,65162016,239864148,237200364,184991904,239740056,230935248,237660912
wfd_depth_scale0.65_v1.5_10yrs.db,144200916,35401284,29121372,239427792,231201720,145834308,42487020,239427792,220978728,155896020,239864148,225315648,238095252
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,177441768,26326152,10666692,239427792,226006920,163842588,61357644,239427792,227179008,154835496,239740056,233805420,238095252
wfd_depth_scale0.70_v1.5_10yrs.db,98533512,44266032,28773360,239427792,189216792,132876360,50165424,239427792,223963776,171659124,239427792,215483256,237799440
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,134135640,49164516,19356768,238464360,169918920,120714948,53666172,239427792,213327612,120854628,239427792,182653164,237365100
wfd_depth_scale0.75_v1.5_10yrs.db,128584224,52600860,27684900,239131980,190402596,87464844,66599244,239010732,204923808,143999388,238734936,187228584,236525184
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,105083352,65275668,43004736,234378360,149567328,69371244,83144088,233182332,154042272,150393960,234609660,162884628,220224996
wfd_depth_scale0.80_v1.5_10yrs.db,139067856,57202524,9601020,230558436,145705788,107015832,26721144,237205944,143291160,116089920,233709948,150412644,225097056
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,106158996,110535336,35573184,177831072,125928864,118679868,53204184,185836392,125712612,109993320,206686836,111153456,166537260
wfd_depth_scale0.85_v1.5_10yrs.db,155931768,64084824,19322280,161420220,140398092,100964628,53917884,195877548,99752904,130064328,180514548,135626688,146032848
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,87069204,38464704,5340492,65605104,73554516,106238484,74484792,72388404,90273888,120292272,83133936,82920384,84246804
wfd_depth_scale0.90_v1.5_10yrs.db,117777420,97983828,10120032,55714356,110349684,62724996,27281232,80512416,77703264,97479180,73037988,113959188,80277552
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,70346772,16829100,3749004,47645532,42838092,58129992,18825840,49979196,44577972,45253548,46854540,48618432,43740756
wfd_depth_scale0.95_v1.5_10yrs.db,68152896,55984860,11894112,45586296,43883928,80546472,25107408,50371020,41869332,69413760,45880128,55206144,44924580
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,46112220,20242476,7431156,44281764,43382304,40335156,22430124,44281764,41744628,43802316,44924580,43740756,43740756
wfd_depth_scale0.99_v1.5_10yrs.db,45960444,25228692,10440036,43097940,42447996,40663728,18025308,44387712,41338872,44475480,43097940,42447996,42447996
