db,uu,ug,ur,ui,uz,uy,gg,gr
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,228,216,181,148,0,4,239,150
wfd_depth_scale0.80_v1.5_10yrs.db,228,210,158,142,0,0,238,150
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,209,174,151,141,0,0,205,140
wfd_depth_scale0.85_v1.5_10yrs.db,198,168,135,149,0,0,195,126
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,123,125,124,135,0,1,119,127
wfd_depth_scale0.90_v1.5_10yrs.db,106,115,106,116,0,0,121,132
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,86,80,93,98,0,0,91,110
wfd_depth_scale0.95_v1.5_10yrs.db,86,75,90,94,0,0,91,107
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,85,77,86,98,0,0,91,93
wfd_depth_scale0.99_v1.5_10yrs.db,82,68,84,86,0,0,89,88
