db,brightness change,color change,footprint,star count,depth,family
footprint_gp_smoothv1.5_10yrs.db,0.15678642426908343,0.4754049676127709,0.5342593255530892,0.5886846169469689,0.9421859046564885,footprint
footprint_newAv1.5_10yrs.db,0.13156142781197536,0.4132877429551147,0.21701152717118918,0.16483822849484234,0.8747525508557368,footprint
footprint_newBv1.5_10yrs.db,0.14337772796120568,0.4329223224338821,0.30489725782200905,0.13615853585839166,0.8430643082198268,footprint
footprint_no_gp_northv1.5_10yrs.db,0.1683116107934102,0.492604106055718,0.7371303787499105,0.27418125861946213,0.9452117213936764,footprint
footprint_standard_goalsv1.5_10yrs.db,0.14170546782292243,0.488316566713696,0.7102097801961766,0.30340195593720537,0.9377027604486966,footprint
footprint_stuck_rollingv1.5_10yrs.db,0.1701838465855544,0.6179194029394889,0.55520154650247,0.1992612674738595,0.8622222684331543,footprint
goodseeing_gi_v1.5_10yrs.db,0.18432907084397065,0.4825709737360788,0.7199828166392209,0.2911107344955433,0.9012092896667514,goodseeing
goodseeing_gri_v1.5_10yrs.db,0.16976995208906218,0.48691185447711127,0.7293620677310803,0.2920814819950882,0.9043978877004147,goodseeing
goodseeing_griz_v1.5_10yrs.db,0.16936151711284061,0.49214318686716835,0.7351614519939857,0.3118969329986906,0.925083095567446,goodseeing
goodseeing_gz_v1.5_10yrs.db,0.15421684455071138,0.5030085291740705,0.720985179351328,0.29586372392638344,0.9165050816167105,goodseeing
goodseeing_i_v1.5_10yrs.db,0.16367269277622373,0.46351529156722787,0.6979308369728646,0.28157800220326884,0.9038418289287496,goodseeing
greedy_footprint_v1.5_10yrs.db,0.1405523829817669,0.48748302509281227,0.6863678671153433,0.29528903122724265,0.9434504883252884,greedy
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.16992605146207782,0.4892102176063475,0.5425288179279731,0.1743576186303607,0.8331664614982067,roll
rolling_mod2_sdf_0.10_v1.5_10yrs.db,0.15985748329576252,0.5457691772745648,0.7961265840910717,0.2958398298950786,0.8835821072340206,rolling
rolling_mod2_sdf_0.20_v1.5_10yrs.db,0.17238427897336375,0.5353295813098452,0.7889310517648742,0.3057382758686184,0.8847175767268612,rolling
rolling_mod3_sdf_0.10_v1.5_10yrs.db,0.20197376400832692,0.607168716941152,0.848285243788931,0.298236729829085,0.850582995623824,rolling
rolling_mod3_sdf_0.20_v1.5_10yrs.db,0.2006507760738429,0.5876133795379108,0.8266986468103383,0.36851451598704227,0.8563999004494929,rolling
rolling_mod6_sdf_0.10_v1.5_10yrs.db,0.23365614126422038,0.8060238502093192,0.8476408677597194,0.30578616136711484,0.8146262442309913,rolling
rolling_mod6_sdf_0.20_v1.5_10yrs.db,0.23383073492028641,0.7792157786576096,0.8410181141261542,0.31370563024388515,0.8274284260162867,rolling
short_exp_2ns_1expt_v1.5_10yrs.db,0.832360441619348,0.6390828439673393,0.9147991694708956,0.44705183954565486,0.8231218076980255,short
short_exp_2ns_5expt_v1.5_10yrs.db,0.5695212641504247,0.62770168636589,0.9022696355695569,0.4310187845468435,0.8231686071803804,short
short_exp_5ns_1expt_v1.5_10yrs.db,1.0,0.8008023251588229,1.0,0.47891702042557255,0.48322078618261444,short
short_exp_5ns_5expt_v1.5_10yrs.db,0.6572446334609215,0.7753863355389277,0.9866828953962911,0.4846931268251615,0.548838769592248,short
spiders_v1.5_10yrs.db,0.12526551424698157,0.48956966354397874,0.6967852795875992,0.31443470282582364,0.9365641135877386,spiders
third_obs_pt120v1.5_10yrs.db,0.19840613049223427,0.47606071908170416,0.681714040237703,0.3005215572142744,0.925503827845341,third
