uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy,db
33177420,56339964,28999476,34943796,0,6858864,48011796,57235968,56914920,46594080,31106664,36246780,68937696,71137548,55147392,39529296,63186552,57793212,41002164,53299512,53233920,rolling_mod6_sdf_0.10_v1.5_10yrs.db
39025116,58593384,34872912,37379232,0,2681892,51380532,49740192,57967776,46809288,24507324,33276348,69263244,69450768,58154220,42693948,58572648,50549148,39652632,49935024,56625948,rolling_mod6_sdf_0.20_v1.5_10yrs.db
74405160,68488056,73413072,59568300,0,641268,74631852,78705684,62343072,28883700,9669888,76916088,78767388,58180104,29191356,76025916,75389868,55308564,77028120,72036792,77158044,short_exp_2ns_1expt_v1.5_10yrs.db
74865780,64119636,71066232,55675224,0,392400,73878912,76015404,60308820,31285764,11253204,75614436,78537096,49697640,23650344,75503700,71028432,48215880,74773296,70412040,74246076,short_exp_2ns_5expt_v1.5_10yrs.db
79028712,79998912,83218392,67007916,0,150480,79423308,82550340,73720728,37353312,15284412,78606216,87485436,64861596,31839480,78600168,80586468,63263052,78135084,80583480,79348896,short_exp_5ns_1expt_v1.5_10yrs.db
78608376,75460608,81353664,59597604,0,198540,78952032,83408040,63190872,31365360,14114088,78143220,85600044,58937220,30672324,78600708,82076868,50829516,79247016,79146828,78298740,short_exp_5ns_5expt_v1.5_10yrs.db
51190524,50204016,45185976,39456828,0,190152,53605188,50175036,46784340,45103428,14772204,48669444,51115968,47804544,26874360,47674800,48196980,49056984,49685364,49793544,49353408,spiders_v1.5_10yrs.db
49852836,66769236,24365340,24057324,0,261396,53897832,37343016,28703520,24477480,4381776,50373792,39301776,39418380,11128716,49509828,24450408,18507672,51668244,24232284,53258580,third_obs_pt120v1.5_10yrs.db
52748928,47301120,50705856,49051404,0,134496,53421552,49623300,45503028,34864884,15587496,51374304,54224712,47176488,24384780,52315164,51658956,50000040,50667012,46102248,48173220,third_obs_pt15v1.5_10yrs.db
50721876,48720780,45532476,34868088,0,5700456,51097356,49257900,49972572,42018156,24307416,46091088,55615248,46231596,26685180,50352840,43427736,49526496,49063752,49887576,48480084,third_obs_pt30v1.5_10yrs.db
52157448,45367020,49007628,42683364,0,211860,52819956,54079164,44760600,32603076,25062660,46753236,53255520,39484116,30855204,49768668,47277648,40341384,50463828,42564960,51222564,third_obs_pt45v1.5_10yrs.db
51004764,47925396,45037872,39341520,0,82584,54373284,56621844,50342076,27742320,9229968,44302464,57575268,44365572,20872080,48487860,39438288,35380944,46307448,41180544,51170040,third_obs_pt60v1.5_10yrs.db
52046532,64053288,38351484,32420340,0,208080,58226004,51357816,38801664,24048252,4398480,51879276,49635648,37603548,15355728,53132112,36166140,28738764,52982856,28490976,51828876,third_obs_pt90v1.5_10yrs.db
