,CI,TPM,LS,star count
long_gaps_np_nightsoff6_delayed-1,0.809046636697138,0.6850158359334579,0.27821793191444494,0.9873786407766997
long_gaps_np_nightsoff7_delayed1827,0.811152255920786,0.6623660162709715,0.28143249410217736,0.9873786407766997
long_gaps_np_nightsoff1_delayed-1,0.7475715194956003,0.7193513610478961,0.2759137239031675,0.988349514563103
long_gaps_np_nightsoff5_delayed-1,0.8161948223484139,0.6665913405043841,0.282116189181077,0.9873786407766997
long_gaps_np_nightsoff4_delayed1827,0.8148732580722644,0.7070839580209897,0.2751914923949069,0.9873786407766997
long_gaps_np_nightsoff1_delayed1827,0.7807720827076668,0.6701569428051933,0.27861715462440684,0.9873786407766997
long_gaps_np_nightsoff2_delayed1827,0.7971427324798885,0.6964928187088082,0.2859899968106384,0.9873786407766997
long_gaps_np_nightsoff3_delayed-1,0.8000628578437197,0.6612602446019573,0.28617597061339517,0.9873786407766997
long_gaps_np_nightsoff7_delayed-1,0.8174843396610658,0.6974868684500652,0.2776051165283578,0.9873786407766997
long_gaps_np_nightsoff6_delayed1827,0.8063206823069418,0.707453756456627,0.2834507775322985,0.9873786407766997
long_gaps_np_nightsoff5_delayed1827,0.8152362309298552,0.6836970759495815,0.2876415876600312,0.9873786407766997
long_gaps_np_nightsoff0_delayed1827,0.7244913483998755,0.6105556910775157,0.2815790761872221,0.9873786407766997
long_gaps_np_nightsoff0_delayed-1,0.6673768776606562,0.5952247513454022,0.28725906118828975,0.9873786407766997
long_gaps_np_nightsoff3_delayed1827,0.8073650997551989,0.6914971681947878,0.2851660939289805,0.9873786407766997
long_gaps_np_nightsoff4_delayed-1,0.8067647934235511,0.6659398728282886,0.2885759124022506,0.9873786407766997
bluer_indx0,0.8364598581748319,0.6799259944495838,0.26760660786488394,0.9873786407766997
bluer_indx1,0.8353798196217221,0.6874384887972032,0.2809350795047443,0.9873786407766997
long_gaps_nightsoff6_delayed1827,0.8106379128968433,0.6750070649238088,0.2809620077388316,0.9873786407766997
long_gaps_nightsoff2_delayed-1,0.7843876527337676,0.6759667605662673,0.2603993891414209,0.9873786407766997
long_gaps_nightsoff5_delayed1827,0.8078907041444624,0.6807766107895957,0.2815093742225841,0.9873786407766997
long_gaps_nightsoff6_delayed-1,0.8084075914189794,0.6640536721035838,0.28672703241582154,0.9873786407766997
long_gaps_nightsoff0_delayed1827,0.7358597358582006,0.6351369892903465,0.2818702811240325,0.9873786407766997
long_gaps_nightsoff3_delayed1827,0.8087460928065314,0.6751175962840216,0.2814739224596759,0.9873786407766997
long_gaps_nightsoff1_delayed-1,0.7681944299480908,0.6587868983700185,0.2899754262324309,0.9873786407766997
long_gaps_nightsoff5_delayed-1,0.8009882438121906,0.6507551518649386,0.28897014179077823,0.9873786407766997
long_gaps_nightsoff7_delayed1827,0.8127751680579919,0.6754638058067647,0.29107594938570286,0.9873786407766997
long_gaps_nightsoff4_delayed1827,0.8084270058219075,0.6463376503237743,0.2834574111658947,0.9873786407766997
long_gaps_nightsoff3_delayed-1,0.7986395636948194,0.6365167407716872,0.28726954792781756,0.9873786407766997
