,TPM,LS,CI,db
54,0.3411239817501217,0.14901361552937623,0.7236055776892429,baseline_samefilt_v1.5_10yrs
55,0.3349861571172815,0.7909839347887712,0.7403350515463918,filterdist_indx2_v1.5_10yrs
56,0.3284193735917763,0.0,0.44930417495029823,short_exp_5ns_1expt_v1.5_10yrs
57,0.3268497820322003,0.6676888165368972,0.6894164193867458,wfd_depth_scale0.80_noddf_v1.5_10yrs
58,0.3228995738131001,0.7038397412543085,0.6716196136701337,wfd_depth_scale0.85_v1.5_10yrs
59,0.3158513819559178,0.7122931656728894,0.6916212196331185,dcr_nham2_ugri_v1.5_10yrs
60,0.3200104241809878,0.6594739785187612,0.7402082300446208,third_obs_pt45v1.5_10yrs
61,0.32217244822066154,0.7623579337861882,0.7283950617283951,wfd_depth_scale0.65_noddf_v1.5_10yrs
62,0.3202303001383057,0.5310511285276384,0.7352503718393654,wfd_depth_scale0.80_v1.5_10yrs
63,0.3293884443150891,0.5154746939812804,0.6966386554621848,bulges_cadence_i_heavy_v1.5_10yrs
64,0.3514678875402752,0.8069430828873634,0.7255154639175257,filterdist_indx8_v1.5_10yrs
65,0.3338633544515548,0.6286240824898189,0.7674764501735251,rolling_mod6_sdf_0.10_v1.5_10yrs
66,0.3260383986575599,0.6200354110537118,0.7166172106824926,footprint_gp_smoothv1.5_10yrs
67,0.27452708107289914,0.6174456529398017,0.9107142857142856,twilight_neo_mod2_v1.5_10yrs
68,0.3215961801856324,0.6808779785726626,0.7299306243805749,third_obs_pt15v1.5_10yrs
69,0.33092294825583196,0.549852481379106,0.7013096746937051,bulges_bulge_wfd_v1.5_10yrs
70,0.31935404985255844,0.6846801076419503,0.6788718456209797,goodseeing_gri_v1.5_10yrs
71,0.3250466652383373,0.6134307447044782,0.7622585438335809,rolling_mod3_sdf_0.20_v1.5_10yrs
72,0.3068216550808312,0.5392688868440291,0.5974155069582505,short_exp_2ns_1expt_v1.5_10yrs
73,0.3091480582122713,0.6810313508092681,0.7443012884043607,spiders_v1.5_10yrs
74,0.3387783609563325,0.6670987744395046,0.7050964868876793,third_obs_pt90v1.5_10yrs
75,0.32116403053475845,0.878375975098773,0.7693069306930693,dcr_nham1_ugr_v1.5_10yrs
76,0.324205208093225,0.7474109268850399,0.7328395061728395,wfd_depth_scale0.75_noddf_v1.5_10yrs
77,0.3359461453063178,0.5708772837472355,0.6861675756073377,third_obs_pt60v1.5_10yrs
78,0.3111889450973549,0.6432415004583047,0.7067855373947499,rolling_mod2_sdf_0.20_v1.5_10yrs
79,0.3544992392642801,0.7462323593203336,0.7398414271555996,wfd_depth_scale0.90_noddf_v1.5_10yrs
80,0.32976730100005475,0.5627904572793335,0.6878097125867195,wfd_depth_scale0.99_noddf_v1.5_10yrs
